x,y,model,repetition,subsample,train_dataset,eval_dataset
4.5,0.3643805679619766,gru   ,2,8,aumc,aumc
4.0,0.3621049898620246,gru   ,2,9,aumc,aumc
4.0,0.3768226797872047,gru   ,3,0,aumc,aumc
4.0,0.387750933706816,gru   ,3,1,aumc,aumc
4.0,0.3793108171035692,gru   ,3,2,aumc,aumc
4.0,0.3812488015996932,gru   ,3,3,aumc,aumc
4.0,0.3736457204767064,gru   ,3,4,aumc,aumc
4.0,0.37652243589743584,gru   ,3,5,aumc,aumc
4.0,0.3726721356090354,gru   ,3,6,aumc,aumc
4.0,0.37232076866223207,gru   ,3,7,aumc,aumc
4.0,0.35643634811072367,gru   ,3,8,aumc,aumc
4.0,0.35853412811686675,gru   ,3,9,aumc,aumc
5.0,0.44379031048447576,gru   ,4,0,aumc,aumc
5.0,0.46717012796307944,gru   ,4,1,aumc,aumc
5.0,0.464923946471615,gru   ,4,2,aumc,aumc
5.0,0.45119563170777627,gru   ,4,3,aumc,aumc
5.0,0.4457210401891253,gru   ,4,4,aumc,aumc
5.0,0.46554834054834054,gru   ,4,5,aumc,aumc
5.0,0.4584086272223841,gru   ,4,6,aumc,aumc
5.0,0.4588058505309557,gru   ,4,7,aumc,aumc
5.0,0.4286951144094001,gru   ,4,8,aumc,aumc
5.0,0.4316583953680728,gru   ,4,9,aumc,aumc
7.0,0.4982299631832342,lgbm  ,0,0,aumc,aumc
7.0,0.5357766857766858,lgbm  ,0,1,aumc,aumc
7.0,0.5116788684695452,lgbm  ,0,2,aumc,aumc
7.0,0.5103307320698625,lgbm  ,0,3,aumc,aumc
7.0,0.493608595975268,lgbm  ,0,4,aumc,aumc
7.0,0.5051719114219114,lgbm  ,0,5,aumc,aumc
7.0,0.5078002354788069,lgbm  ,0,6,aumc,aumc
7.0,0.5002380952380951,lgbm  ,0,7,aumc,aumc
7.0,0.480467720685112,lgbm  ,0,8,aumc,aumc
7.0,0.492157269209508,lgbm  ,0,9,aumc,aumc
6.0,0.5203644987497744,lgbm  ,1,0,aumc,aumc
6.0,0.5452898550724637,lgbm  ,1,1,aumc,aumc
6.0,0.5138763197586727,lgbm  ,1,2,aumc,aumc
