,AUC,rep,subsample,model,train_dataset,eval_dataset
0,0.8450951152961075,3,2,GRUModel,aumc,aumc
0,0.8433292862732006,3,3,GRUModel,aumc,aumc
0,0.8410772135651317,3,4,GRUModel,aumc,aumc
0,0.8443765505888534,3,5,GRUModel,aumc,aumc
0,0.8366653000432093,3,6,GRUModel,aumc,aumc
0,0.8403985611570939,3,7,GRUModel,aumc,aumc
0,0.8266394650326018,3,8,GRUModel,aumc,aumc
0,0.8320926176142385,3,9,GRUModel,aumc,aumc
0,0.8943199953137286,1,0,lgbm,aumc,aumc
0,0.8963868757342299,1,1,lgbm,aumc,aumc
0,0.8925835757530016,1,2,lgbm,aumc,aumc
0,0.8968500623338047,1,3,lgbm,aumc,aumc
0,0.8842005244377896,1,4,lgbm,aumc,aumc
0,0.8942094415605186,1,5,lgbm,aumc,aumc
0,0.8927153751110168,1,6,lgbm,aumc,aumc
0,0.8895086154752744,1,7,lgbm,aumc,aumc
0,0.88151725052684,1,8,lgbm,aumc,aumc
0,0.8854694508748168,1,9,lgbm,aumc,aumc
0,0.8952427327786773,2,0,lgbm,aumc,aumc
0,0.8957743028909456,2,1,lgbm,aumc,aumc
0,0.8914926526965108,2,2,lgbm,aumc,aumc
0,0.894482228269821,2,3,lgbm,aumc,aumc
0,0.8803401367873604,2,4,lgbm,aumc,aumc
0,0.8915425501362195,2,5,lgbm,aumc,aumc
0,0.8944874997895677,2,6,lgbm,aumc,aumc
0,0.888275999708861,2,7,lgbm,aumc,aumc
0,0.8801410587960291,2,8,lgbm,aumc,aumc
0,0.8858769086251208,2,9,lgbm,aumc,aumc
0,0.9014374280785733,0,0,lgbm,aumc,aumc
0,0.901868188156433,0,1,lgbm,aumc,aumc
0,0.8988531977111317,0,2,lgbm,aumc,aumc
0,0.9030623244594916,0,3,lgbm,aumc,aumc
0,0.8909945811610593,0,4,lgbm,aumc,aumc
0,0.8986306935606668,0,5,lgbm,aumc,aumc
0,0.8980598720368401,0,6,lgbm,aumc,aumc
0,0.8980464334566001,0,7,lgbm,aumc,aumc
0,0.8873475480485483,0,8,lgbm,aumc,aumc
0,0.8914963190714149,0,9,lgbm,aumc,aumc
0,0.8988430408340888,3,0,lgbm,aumc,aumc
0,0.8956893549709694,3,1,lgbm,aumc,aumc
0,0.8923670742733076,3,2,lgbm,aumc,aumc
0,0.8973263303362833,3,3,lgbm,aumc,aumc
0,0.8863469182686702,3,4,lgbm,aumc,aumc
0,0.8937226675723036,3,5,lgbm,aumc,aumc
0,0.8944062416664488,3,6,lgbm,aumc,aumc
0,0.8894480420166965,3,7,lgbm,aumc,aumc
0,0.8805886886741204,3,8,lgbm,aumc,aumc
0,0.8884853022553242,3,9,lgbm,aumc,aumc
0,0.9073913970614318,4,0,lgbm,aumc,aumc
0,0.9048988728767813,4,1,lgbm,aumc,aumc
0,0.9050810036494239,4,2,lgbm,aumc,aumc
0,0.9051686121097748,4,3,lgbm,aumc,aumc
0,0.8946080085689367,4,4,lgbm,aumc,aumc
0,0.9009469192666409,4,5,lgbm,aumc,aumc
0,0.9023852453427552,4,6,lgbm,aumc,aumc
0,0.898538583885847,4,7,lgbm,aumc,aumc
0,0.8930011455268902,4,8,lgbm,aumc,aumc
0,0.8940091016062873,4,9,lgbm,aumc,aumc
0,0.8890639852393699,4,0,lr,aumc,aumc
0,0.8868045972796721,4,1,lr,aumc,aumc
0,0.8884291520340997,4,2,lr,aumc,aumc
0,0.8849725732201574,4,3,lr,aumc,aumc
0,0.8814408530882211,4,4,lr,aumc,aumc
0,0.8789633650161852,4,5,lr,aumc,aumc
0,0.8892043783312016,4,6,lr,aumc,aumc
0,0.8785987549560588,4,7,lr,aumc,aumc
0,0.8717487619981994,4,8,lr,aumc,aumc
0,0.8702509958371553,4,9,lr,aumc,aumc
0,0.8930482762585674,3,0,lr,aumc,aumc
0,0.8895274442737436,3,1,lr,aumc,aumc
0,0.8899058330120652,3,2,lr,aumc,aumc
0,0.8875666131174426,3,3,lr,aumc,aumc
0,0.8843023920907794,3,4,lr,aumc,aumc
0,0.8809628463771904,3,5,lr,aumc,aumc
0,0.8922660712598056,3,6,lr,aumc,aumc
0,0.8825730585496852,3,7,lr,aumc,aumc
0,0.8734756943019641,3,8,lr,aumc,aumc
0,0.8746737367818394,3,9,lr,aumc,aumc
0,0.8896602006763835,0,0,lr,aumc,aumc
0,0.8888661394871683,0,1,lr,aumc,aumc
0,0.8897913923017653,0,2,lr,aumc,aumc
