,AUPRC,rep,subsample,model,train_dataset,eval_dataset
0,0.720882182055498,3,0,AttentionModel,aumc,aumc
0,0.6751269879084042,3,1,AttentionModel,aumc,aumc
0,0.6993480598930379,3,2,AttentionModel,aumc,aumc
0,0.681798675085271,3,3,AttentionModel,aumc,aumc
0,0.7167806415460473,3,4,AttentionModel,aumc,aumc
0,0.6928430171442297,3,5,AttentionModel,aumc,aumc
0,0.6509550052897664,3,6,AttentionModel,aumc,aumc
0,0.7118275624297069,3,7,AttentionModel,aumc,aumc
0,0.6549869057176367,3,8,AttentionModel,aumc,aumc
0,0.6404525051463512,3,9,AttentionModel,aumc,aumc
0,0.7669770310910282,1,0,AttentionModel,aumc,aumc
0,0.6884862667541118,1,1,AttentionModel,aumc,aumc
0,0.7242095196347977,1,2,AttentionModel,aumc,aumc
0,0.740288977271859,1,3,AttentionModel,aumc,aumc
0,0.7390583436053519,1,4,AttentionModel,aumc,aumc
0,0.690250479924104,1,5,AttentionModel,aumc,aumc
0,0.6555211368098415,1,6,AttentionModel,aumc,aumc
0,0.7062941087938359,1,7,AttentionModel,aumc,aumc
0,0.6560220105163133,1,8,AttentionModel,aumc,aumc
0,0.6662876644675899,1,9,AttentionModel,aumc,aumc
0,0.713929999730062,2,0,AttentionModel,aumc,aumc
0,0.6602574028713959,2,1,AttentionModel,aumc,aumc
0,0.6867315239110492,2,2,AttentionModel,aumc,aumc
0,0.695978078564478,2,3,AttentionModel,aumc,aumc
0,0.6964237784373821,2,4,AttentionModel,aumc,aumc
0,0.6587491396140069,2,5,AttentionModel,aumc,aumc
0,0.6177582682132918,2,6,AttentionModel,aumc,aumc
0,0.6688591539965297,2,7,AttentionModel,aumc,aumc
0,0.6201666063467222,2,8,AttentionModel,aumc,aumc
0,0.6076227974630133,2,9,AttentionModel,aumc,aumc
0,0.7261947026607907,4,0,AttentionModel,aumc,aumc
0,0.6929127478686936,4,1,AttentionModel,aumc,aumc
0,0.7215954369145992,4,2,AttentionModel,aumc,aumc
0,0.7098208787422062,4,3,AttentionModel,aumc,aumc
0,0.7295941422803374,4,4,AttentionModel,aumc,aumc
0,0.7144711898778651,4,5,AttentionModel,aumc,aumc
0,0.6727106392953917,4,6,AttentionModel,aumc,aumc
0,0.7167887042117251,4,7,AttentionModel,aumc,aumc
0,0.668987368802748,4,8,AttentionModel,aumc,aumc
0,0.6748866378865791,4,9,AttentionModel,aumc,aumc
0,0.7100877288877426,0,0,AttentionModel,aumc,aumc
0,0.6644831328721359,0,1,AttentionModel,aumc,aumc
