AUC_lower,AUC_upper,model,train_dataset,eval_dataset
0.7223306286271037,0.7481120306642839,AttentionModel,AUMC+EICU+Hirid,mimic
0.6734874784144443,0.7297188037044042,AttentionModel,MIMIC+AUMC+EICU,hirid
0.7501240276884006,0.782064597170561,AttentionModel,MIMIC+Hirid+AUMC,eicu
0.7878075437444235,0.8264974511525304,AttentionModel,MIMIC+Hirid+EICU,aumc
