x,y,model,repetition,subsample,train_dataset,eval_dataset
3.0,0.3675571797618298,attn  ,0,0,pooled,aumc
2.75,0.37619841322754854,attn  ,0,1,pooled,aumc
2.25,0.3655821917808219,attn  ,0,2,pooled,aumc
2.5,0.37748278337631946,attn  ,0,3,pooled,aumc
3.0,0.37125197772089374,attn  ,0,4,pooled,aumc
2.25,0.36881968473663973,attn  ,0,5,pooled,aumc
2.5,0.3811378072355702,attn  ,0,6,pooled,aumc
2.75,0.3762804097311139,attn  ,0,7,pooled,aumc
2.0,0.37205353307560135,attn  ,0,8,pooled,aumc
2.5,0.37144224967865475,attn  ,0,9,pooled,aumc
1.0,0.38197147464412806,attn  ,1,0,pooled,aumc
1.5,0.36773423944476574,attn  ,1,1,pooled,aumc
0.5,0.38145592475435997,attn  ,1,2,pooled,aumc
1.0,0.3960724533715926,attn  ,1,3,pooled,aumc
0.5,0.39617740264489,attn  ,1,4,pooled,aumc
1.0,0.3727070230607966,attn  ,1,5,pooled,aumc
1.5,0.38357152222367896,attn  ,1,6,pooled,aumc
1.0,0.3875926162041169,attn  ,1,7,pooled,aumc
0.5,0.36127239497208785,attn  ,1,8,pooled,aumc
0.5,0.37314323607427047,attn  ,1,9,pooled,aumc
0.75,0.39289702755212874,attn  ,2,0,pooled,aumc
1.0,0.3649797057331303,attn  ,2,1,pooled,aumc
1.0,0.3724553224553224,attn  ,2,2,pooled,aumc
1.0,0.3923076923076923,attn  ,2,3,pooled,aumc
1.75,0.37503901373283394,attn  ,2,4,pooled,aumc
0.75,0.37697267467233536,attn  ,2,5,pooled,aumc
1.25,0.3730571281523417,attn  ,2,6,pooled,aumc
1.0,0.38530627693024333,attn  ,2,7,pooled,aumc
0.75,0.3701268742791234,attn  ,2,8,pooled,aumc
1.0,0.3737665239247812,attn  ,2,9,pooled,aumc
0.0,0.42268855612034617,attn  ,3,0,pooled,aumc
0.0,0.4082848457112971,attn  ,3,1,pooled,aumc
0.0,0.4169193812184816,attn  ,3,2,pooled,aumc
0.0,0.4668696581196581,attn  ,3,3,pooled,aumc
0.0,0.43176525384257103,attn  ,3,4,pooled,aumc
0.0,0.42094148102731793,attn  ,3,5,pooled,aumc
0.0,0.4276258601955813,attn  ,3,6,pooled,aumc
0.0,0.4336043360433604,attn  ,3,7,pooled,aumc
0.0,0.41387827858416093,attn  ,3,8,pooled,aumc
0.0,0.39939790451808654,attn  ,3,9,pooled,aumc
0.5,0.4443032847252909,attn  ,4,0,pooled,aumc
0.5,0.3932004142175809,attn  ,4,1,pooled,aumc
0.5,0.4332900151613601,attn  ,4,2,pooled,aumc
0.25,0.4803436225975538,attn  ,4,3,pooled,aumc
0.25,0.4422316871954261,attn  ,4,4,pooled,aumc
0.5,0.4372060552616108,attn  ,4,5,pooled,aumc
0.5,0.41471723824664997,attn  ,4,6,pooled,aumc
0.5,0.42676767676767674,attn  ,4,7,pooled,aumc
0.25,0.4240819781367623,attn  ,4,8,pooled,aumc
0.5,0.41072593346803055,attn  ,4,9,pooled,aumc
1.0,0.31864179291832023,gru   ,0,0,pooled,aumc
1.0,0.31219399109792284,gru   ,0,1,pooled,aumc
1.0,0.32404595404595404,gru   ,0,2,pooled,aumc
1.0,0.3378921526027635,gru   ,0,3,pooled,aumc
1.0,0.30858780699847854,gru   ,0,4,pooled,aumc
1.0,0.3231359736235798,gru   ,0,5,pooled,aumc
1.0,0.31174186390532543,gru   ,0,6,pooled,aumc
1.0,0.3199964928688333,gru   ,0,7,pooled,aumc
1.0,0.2989285714285713,gru   ,0,8,pooled,aumc
1.0,0.2906063235010603,gru   ,0,9,pooled,aumc
2.0,0.2644004994706697,gru   ,1,0,pooled,aumc
2.0,0.26548154938634777,gru   ,1,1,pooled,aumc
2.0,0.26863052751763417,gru   ,1,2,pooled,aumc
2.5,0.2720160342801852,gru   ,1,3,pooled,aumc
2.0,0.25902515907595913,gru   ,1,4,pooled,aumc
2.0,0.2679487179487179,gru   ,1,5,pooled,aumc
2.0,0.2640558815017496,gru   ,1,6,pooled,aumc
2.0,0.26330453794059616,gru   ,1,7,pooled,aumc
2.0,0.2598594932928175,gru   ,1,8,pooled,aumc
2.5,0.25214073634204276,gru   ,1,9,pooled,aumc
2.0,0.2732447680236689,gru   ,2,0,pooled,aumc
2.25,0.267886641211038,gru   ,2,1,pooled,aumc
2.0,0.27186692506459953,gru   ,2,2,pooled,aumc
2.0,0.28196911196911195,gru   ,2,3,pooled,aumc
2.0,0.26612603689488673,gru   ,2,4,pooled,aumc
2.5,0.27521585557299844,gru   ,2,5,pooled,aumc
2.5,0.2715616363574329,gru   ,2,6,pooled,aumc
2.5,0.26880519879924847,gru   ,2,7,pooled,aumc
2.5,0.2583830633702756,gru   ,2,8,pooled,aumc
2.25,0.25848745004601437,gru   ,2,9,pooled,aumc
1.75,0.31947425153189546,gru   ,3,0,pooled,aumc
1.75,0.31702524383247277,gru   ,3,1,pooled,aumc
1.75,0.3270423131597253,gru   ,3,2,pooled,aumc
2.0,0.3282102234503885,gru   ,3,3,pooled,aumc
1.75,0.30845597137399444,gru   ,3,4,pooled,aumc
1.75,0.312270835056378,gru   ,3,5,pooled,aumc
1.75,0.3224121557454891,gru   ,3,6,pooled,aumc
1.75,0.3229776674937965,gru   ,3,7,pooled,aumc
1.75,0.2956938745241509,gru   ,3,8,pooled,aumc
2.0,0.3010188087774294,gru   ,3,9,pooled,aumc
0.0,0.2885714285714286,gru   ,4,0,pooled,aumc
0.0,0.30068442143338414,gru   ,4,1,pooled,aumc
0.0,0.30514464168310323,gru   ,4,2,pooled,aumc
0.0,0.31839392876626915,gru   ,4,3,pooled,aumc
0.0,0.2918727481166066,gru   ,4,4,pooled,aumc
0.0,0.3023056653491436,gru   ,4,5,pooled,aumc
0.0,0.2944477776111194,gru   ,4,6,pooled,aumc
0.0,0.29496054039593367,gru   ,4,7,pooled,aumc
0.0,0.2870496476363924,gru   ,4,8,pooled,aumc
0.0,0.279526287726887,gru   ,4,9,pooled,aumc
0.0,0.2985402011950684,lgbm  ,0,0,pooled,aumc
0.0,0.3057694322229205,lgbm  ,0,1,pooled,aumc
0.0,0.29855601129639586,lgbm  ,0,2,pooled,aumc
0.0,0.33335778355268675,lgbm  ,0,3,pooled,aumc
0.0,0.29939735104935294,lgbm  ,0,4,pooled,aumc
0.0,0.303972910016392,lgbm  ,0,5,pooled,aumc
0.0,0.314978529931801,lgbm  ,0,6,pooled,aumc
0.0,0.30485508503991665,lgbm  ,0,7,pooled,aumc
0.0,0.28810541310541304,lgbm  ,0,8,pooled,aumc
0.0,0.3056172056647643,lgbm  ,0,9,pooled,aumc
0.5,0.2682485357420083,lgbm  ,1,0,pooled,aumc
0.0,0.263003663003663,lgbm  ,1,1,pooled,aumc
0.5,0.28173602353930216,lgbm  ,1,2,pooled,aumc
0.5,0.27785895999273147,lgbm  ,1,3,pooled,aumc
0.5,0.26613945152954904,lgbm  ,1,4,pooled,aumc
