x,y,model,repetition,subsample,train_dataset,eval_dataset
0.5,0.2689919675295186,lgbm  ,1,5,pooled,aumc
0.5,0.27444086625107095,lgbm  ,1,6,pooled,aumc
0.5,0.2778446513740631,lgbm  ,1,7,pooled,aumc
0.5,0.2654278765769874,lgbm  ,1,8,pooled,aumc
0.5,0.2704165053138849,lgbm  ,1,9,pooled,aumc
1.5,0.28856898152595006,lgbm  ,2,0,pooled,aumc
1.5,0.2898578811369509,lgbm  ,2,1,pooled,aumc
1.5,0.28497053428560276,lgbm  ,2,2,pooled,aumc
1.5,0.29741610196151785,lgbm  ,2,3,pooled,aumc
1.5,0.2746201687494564,lgbm  ,2,4,pooled,aumc
1.5,0.2910397329425175,lgbm  ,2,5,pooled,aumc
1.5,0.29314104470215085,lgbm  ,2,6,pooled,aumc
1.5,0.2818735062574925,lgbm  ,2,7,pooled,aumc
1.5,0.27680596883009756,lgbm  ,2,8,pooled,aumc
1.5,0.2768572817822832,lgbm  ,2,9,pooled,aumc
0.0,0.29018316045229414,lgbm  ,3,0,pooled,aumc
0.0,0.29890186162960763,lgbm  ,3,1,pooled,aumc
0.0,0.2894971594910559,lgbm  ,3,2,pooled,aumc
0.0,0.296993131392993,lgbm  ,3,3,pooled,aumc
0.0,0.28301872814555795,lgbm  ,3,4,pooled,aumc
0.0,0.2932321772639692,lgbm  ,3,5,pooled,aumc
0.0,0.2913186813186813,lgbm  ,3,6,pooled,aumc
0.0,0.291030280244999,lgbm  ,3,7,pooled,aumc
0.0,0.27092828016310866,lgbm  ,3,8,pooled,aumc
0.0,0.282013010158617,lgbm  ,3,9,pooled,aumc
0.0,0.2727272727272727,lgbm  ,4,0,pooled,aumc
0.0,0.2731471161883533,lgbm  ,4,1,pooled,aumc
0.0,0.270253682487725,lgbm  ,4,2,pooled,aumc
0.0,0.27497494035097625,lgbm  ,4,3,pooled,aumc
0.0,0.26073502808721316,lgbm  ,4,4,pooled,aumc
0.0,0.27096143958868896,lgbm  ,4,5,pooled,aumc
0.0,0.2713250759523253,lgbm  ,4,6,pooled,aumc
0.0,0.2681693658851019,lgbm  ,4,7,pooled,aumc
0.0,0.2587636213590412,lgbm  ,4,8,pooled,aumc
0.0,0.26645233991780454,lgbm  ,4,9,pooled,aumc
5.0,0.22560888234451199,lr    ,0,0,pooled,aumc
5.0,0.22799767029873563,lr    ,0,1,pooled,aumc
5.0,0.2242281257087635,lr    ,0,2,pooled,aumc
5.0,0.2293077200432675,lr    ,0,3,pooled,aumc
5.0,0.22321873442949675,lr    ,0,4,pooled,aumc
5.0,0.22805283960890366,lr    ,0,5,pooled,aumc
5.0,0.23217310950254116,lr    ,0,6,pooled,aumc
5.0,0.2269971855379952,lr    ,0,7,pooled,aumc
5.0,0.22667984189723317,lr    ,0,8,pooled,aumc
5.0,0.2257700429622078,lr    ,0,9,pooled,aumc
5.5,0.22288882702301405,lr    ,1,0,pooled,aumc
6.0,0.22126738358001735,lr    ,1,1,pooled,aumc
5.5,0.21901815275716402,lr    ,1,2,pooled,aumc
5.5,0.2225537534375879,lr    ,1,3,pooled,aumc
5.5,0.21766642612303805,lr    ,1,4,pooled,aumc
5.5,0.22360187537358034,lr    ,1,5,pooled,aumc
6.0,0.22712966746444063,lr    ,1,6,pooled,aumc
6.0,0.22164437611144033,lr    ,1,7,pooled,aumc
6.0,0.22182556251449775,lr    ,1,8,pooled,aumc
6.0,0.22274853801169586,lr    ,1,9,pooled,aumc
7.0,0.2076502732240437,lr    ,2,0,pooled,aumc
7.0,0.21191884715876125,lr    ,2,1,pooled,aumc
7.0,0.2063402922755741,lr    ,2,2,pooled,aumc
7.0,0.21080048295348458,lr    ,2,3,pooled,aumc
7.0,0.205880658436214,lr    ,2,4,pooled,aumc
7.0,0.20827777186940122,lr    ,2,5,pooled,aumc
7.0,0.2164859679650203,lr    ,2,6,pooled,aumc
7.0,0.2094072756723359,lr    ,2,7,pooled,aumc
7.0,0.21040558704926654,lr    ,2,8,pooled,aumc
7.0,0.2123608931753139,lr    ,2,9,pooled,aumc
7.0,0.19881950201099136,lr    ,3,0,pooled,aumc
7.0,0.20435357862903225,lr    ,3,1,pooled,aumc
7.0,0.2003651169903655,lr    ,3,2,pooled,aumc
7.0,0.2030808409025647,lr    ,3,3,pooled,aumc
7.0,0.2009338881183541,lr    ,3,4,pooled,aumc
7.0,0.2011895592303823,lr    ,3,5,pooled,aumc
7.0,0.20629313369984792,lr    ,3,6,pooled,aumc
7.0,0.20135135135135135,lr    ,3,7,pooled,aumc
7.0,0.2060883232892274,lr    ,3,8,pooled,aumc
7.0,0.2018097418439043,lr    ,3,9,pooled,aumc
5.5,0.21252530364372468,lr    ,4,0,pooled,aumc
5.0,0.21655085964730336,lr    ,4,1,pooled,aumc
5.25,0.21242739801354082,lr    ,4,2,pooled,aumc
5.5,0.2197403124365997,lr    ,4,3,pooled,aumc
5.0,0.2131671851515257,lr    ,4,4,pooled,aumc
5.0,0.21705686867555357,lr    ,4,5,pooled,aumc
5.0,0.2216934278412652,lr    ,4,6,pooled,aumc
5.0,0.2153675319474278,lr    ,4,7,pooled,aumc
6.0,0.21585372220095356,lr    ,4,8,pooled,aumc
5.0,0.2169360051712993,lr    ,4,9,pooled,aumc
5.0,0.29361540339084885,mews  ,0,0,pooled,aumc
5.0,0.29717035555641025,mews  ,0,1,pooled,aumc
5.0,0.29702243958573066,mews  ,0,2,pooled,aumc
5.0,0.3085278053624627,mews  ,0,3,pooled,aumc
5.0,0.2925170068027211,mews  ,0,4,pooled,aumc
5.0,0.29494157879737815,mews  ,0,5,pooled,aumc
5.0,0.291239300472255,mews  ,0,6,pooled,aumc
5.0,0.2914424860853432,mews  ,0,7,pooled,aumc
5.0,0.2852385102447353,mews  ,0,8,pooled,aumc
5.0,0.28635458167330674,mews  ,0,9,pooled,aumc
5.0,0.29361540339084885,mews  ,1,0,pooled,aumc
5.0,0.29717035555641025,mews  ,1,1,pooled,aumc
5.0,0.29702243958573066,mews  ,1,2,pooled,aumc
5.0,0.3085278053624627,mews  ,1,3,pooled,aumc
5.0,0.2925170068027211,mews  ,1,4,pooled,aumc
5.0,0.29494157879737815,mews  ,1,5,pooled,aumc
5.0,0.291239300472255,mews  ,1,6,pooled,aumc
5.0,0.2914424860853432,mews  ,1,7,pooled,aumc
5.0,0.2852385102447353,mews  ,1,8,pooled,aumc
5.0,0.28635458167330674,mews  ,1,9,pooled,aumc
5.0,0.29361540339084885,mews  ,2,0,pooled,aumc
5.0,0.29717035555641025,mews  ,2,1,pooled,aumc
5.0,0.29702243958573066,mews  ,2,2,pooled,aumc
5.0,0.3085278053624627,mews  ,2,3,pooled,aumc
5.0,0.2925170068027211,mews  ,2,4,pooled,aumc
5.0,0.29494157879737815,mews  ,2,5,pooled,aumc
5.0,0.291239300472255,mews  ,2,6,pooled,aumc
5.0,0.2914424860853432,mews  ,2,7,pooled,aumc
5.0,0.2852385102447353,mews  ,2,8,pooled,aumc
5.0,0.28635458167330674,mews  ,2,9,pooled,aumc
5.0,0.29361540339084885,mews  ,3,0,pooled,aumc
5.0,0.29717035555641025,mews  ,3,1,pooled,aumc
5.0,0.29702243958573066,mews  ,3,2,pooled,aumc
5.0,0.3085278053624627,mews  ,3,3,pooled,aumc
5.0,0.2925170068027211,mews  ,3,4,pooled,aumc
5.0,0.29494157879737815,mews  ,3,5,pooled,aumc
5.0,0.291239300472255,mews  ,3,6,pooled,aumc
5.0,0.2914424860853432,mews  ,3,7,pooled,aumc
5.0,0.2852385102447353,mews  ,3,8,pooled,aumc
5.0,0.28635458167330674,mews  ,3,9,pooled,aumc
5.0,0.29361540339084885,mews  ,4,0,pooled,aumc
5.0,0.29717035555641025,mews  ,4,1,pooled,aumc
5.0,0.29702243958573066,mews  ,4,2,pooled,aumc
5.0,0.3085278053624627,mews  ,4,3,pooled,aumc
5.0,0.2925170068027211,mews  ,4,4,pooled,aumc
5.0,0.29494157879737815,mews  ,4,5,pooled,aumc
5.0,0.291239300472255,mews  ,4,6,pooled,aumc
5.0,0.2914424860853432,mews  ,4,7,pooled,aumc
5.0,0.2852385102447353,mews  ,4,8,pooled,aumc
5.0,0.28635458167330674,mews  ,4,9,pooled,aumc
1.0,0.30473637176050045,news  ,0,0,pooled,aumc
1.0,0.3212051759537793,news  ,0,1,pooled,aumc
1.0,0.29892241827212834,news  ,0,2,pooled,aumc
1.0,0.32125866602916564,news  ,0,3,pooled,aumc
1.0,0.31543246070890674,news  ,0,4,pooled,aumc
1.0,0.30751320316437664,news  ,0,5,pooled,aumc
1.0,0.31655802584099635,news  ,0,6,pooled,aumc
1.0,0.32058571122076807,news  ,0,7,pooled,aumc
1.0,0.3095963484995591,news  ,0,8,pooled,aumc
1.0,0.29844668432817284,news  ,0,9,pooled,aumc
1.0,0.30473637176050045,news  ,1,0,pooled,aumc
1.0,0.3212051759537793,news  ,1,1,pooled,aumc
1.0,0.29892241827212834,news  ,1,2,pooled,aumc
1.0,0.32125866602916564,news  ,1,3,pooled,aumc
1.0,0.31543246070890674,news  ,1,4,pooled,aumc
1.0,0.30751320316437664,news  ,1,5,pooled,aumc
1.0,0.31655802584099635,news  ,1,6,pooled,aumc
1.0,0.32058571122076807,news  ,1,7,pooled,aumc
1.0,0.3095963484995591,news  ,1,8,pooled,aumc
1.0,0.29844668432817284,news  ,1,9,pooled,aumc
1.0,0.30473637176050045,news  ,2,0,pooled,aumc
1.0,0.3212051759537793,news  ,2,1,pooled,aumc
1.0,0.29892241827212834,news  ,2,2,pooled,aumc
1.0,0.32125866602916564,news  ,2,3,pooled,aumc
1.0,0.31543246070890674,news  ,2,4,pooled,aumc
1.0,0.30751320316437664,news  ,2,5,pooled,aumc
1.0,0.31655802584099635,news  ,2,6,pooled,aumc
1.0,0.32058571122076807,news  ,2,7,pooled,aumc
1.0,0.3095963484995591,news  ,2,8,pooled,aumc
1.0,0.29844668432817284,news  ,2,9,pooled,aumc
1.0,0.30473637176050045,news  ,3,0,pooled,aumc
1.0,0.3212051759537793,news  ,3,1,pooled,aumc
1.0,0.29892241827212834,news  ,3,2,pooled,aumc
1.0,0.32125866602916564,news  ,3,3,pooled,aumc
1.0,0.31543246070890674,news  ,3,4,pooled,aumc
1.0,0.30751320316437664,news  ,3,5,pooled,aumc
1.0,0.31655802584099635,news  ,3,6,pooled,aumc
1.0,0.32058571122076807,news  ,3,7,pooled,aumc
1.0,0.3095963484995591,news  ,3,8,pooled,aumc
1.0,0.29844668432817284,news  ,3,9,pooled,aumc
1.0,0.30473637176050045,news  ,4,0,pooled,aumc
1.0,0.3212051759537793,news  ,4,1,pooled,aumc
1.0,0.29892241827212834,news  ,4,2,pooled,aumc
1.0,0.32125866602916564,news  ,4,3,pooled,aumc
1.0,0.31543246070890674,news  ,4,4,pooled,aumc
1.0,0.30751320316437664,news  ,4,5,pooled,aumc
1.0,0.31655802584099635,news  ,4,6,pooled,aumc
1.0,0.32058571122076807,news  ,4,7,pooled,aumc
1.0,0.3095963484995591,news  ,4,8,pooled,aumc
1.0,0.29844668432817284,news  ,4,9,pooled,aumc
3.5,0.28301538006506943,qsofa ,0,0,pooled,aumc
3.5,0.2671366367508366,qsofa ,0,1,pooled,aumc
3.5,0.2760388286815604,qsofa ,0,2,pooled,aumc
3.5,0.2850235849056604,qsofa ,0,3,pooled,aumc
3.5,0.2713211197536226,qsofa ,0,4,pooled,aumc
3.5,0.271671090685789,qsofa ,0,5,pooled,aumc
3.5,0.2877798153191766,qsofa ,0,6,pooled,aumc
3.5,0.2731306081754735,qsofa ,0,7,pooled,aumc
3.5,0.2711470240441466,qsofa ,0,8,pooled,aumc
3.5,0.26594329583460014,qsofa ,0,9,pooled,aumc
3.5,0.28301538006506943,qsofa ,1,0,pooled,aumc
3.5,0.2671366367508366,qsofa ,1,1,pooled,aumc
3.5,0.2760388286815604,qsofa ,1,2,pooled,aumc
3.5,0.2850235849056604,qsofa ,1,3,pooled,aumc
3.5,0.2713211197536226,qsofa ,1,4,pooled,aumc
3.5,0.271671090685789,qsofa ,1,5,pooled,aumc
3.5,0.2877798153191766,qsofa ,1,6,pooled,aumc
3.5,0.2731306081754735,qsofa ,1,7,pooled,aumc
3.5,0.2711470240441466,qsofa ,1,8,pooled,aumc
3.5,0.26594329583460014,qsofa ,1,9,pooled,aumc
3.5,0.28301538006506943,qsofa ,2,0,pooled,aumc
3.5,0.2671366367508366,qsofa ,2,1,pooled,aumc
3.5,0.2760388286815604,qsofa ,2,2,pooled,aumc
3.5,0.2850235849056604,qsofa ,2,3,pooled,aumc
3.5,0.2713211197536226,qsofa ,2,4,pooled,aumc
3.5,0.271671090685789,qsofa ,2,5,pooled,aumc
3.5,0.2877798153191766,qsofa ,2,6,pooled,aumc
3.5,0.2731306081754735,qsofa ,2,7,pooled,aumc
3.5,0.2711470240441466,qsofa ,2,8,pooled,aumc
3.5,0.26594329583460014,qsofa ,2,9,pooled,aumc
3.5,0.28301538006506943,qsofa ,3,0,pooled,aumc
3.5,0.2671366367508366,qsofa ,3,1,pooled,aumc
3.5,0.2760388286815604,qsofa ,3,2,pooled,aumc
3.5,0.2850235849056604,qsofa ,3,3,pooled,aumc
3.5,0.2713211197536226,qsofa ,3,4,pooled,aumc
3.5,0.271671090685789,qsofa ,3,5,pooled,aumc
3.5,0.2877798153191766,qsofa ,3,6,pooled,aumc
3.5,0.2731306081754735,qsofa ,3,7,pooled,aumc
3.5,0.2711470240441466,qsofa ,3,8,pooled,aumc
3.5,0.26594329583460014,qsofa ,3,9,pooled,aumc
3.5,0.28301538006506943,qsofa ,4,0,pooled,aumc
3.5,0.2671366367508366,qsofa ,4,1,pooled,aumc
3.5,0.2760388286815604,qsofa ,4,2,pooled,aumc
3.5,0.2850235849056604,qsofa ,4,3,pooled,aumc
3.5,0.2713211197536226,qsofa ,4,4,pooled,aumc
3.5,0.271671090685789,qsofa ,4,5,pooled,aumc
3.5,0.2877798153191766,qsofa ,4,6,pooled,aumc
3.5,0.2731306081754735,qsofa ,4,7,pooled,aumc
3.5,0.2711470240441466,qsofa ,4,8,pooled,aumc
3.5,0.26594329583460014,qsofa ,4,9,pooled,aumc
5.75,0.2709443829830031,sirs  ,0,0,pooled,aumc
5.75,0.2568397543271915,sirs  ,0,1,pooled,aumc
5.75,0.2629639853902998,sirs  ,0,2,pooled,aumc
5.75,0.2702585632413701,sirs  ,0,3,pooled,aumc
5.75,0.25304395951929154,sirs  ,0,4,pooled,aumc
5.75,0.2592952160621333,sirs  ,0,5,pooled,aumc
5.75,0.2641031373425739,sirs  ,0,6,pooled,aumc
5.75,0.26092305126093346,sirs  ,0,7,pooled,aumc
5.75,0.26195897371028604,sirs  ,0,8,pooled,aumc
5.75,0.2553755375537553,sirs  ,0,9,pooled,aumc
5.75,0.2709443829830031,sirs  ,1,0,pooled,aumc
5.75,0.2568397543271915,sirs  ,1,1,pooled,aumc
5.75,0.2629639853902998,sirs  ,1,2,pooled,aumc
5.75,0.2702585632413701,sirs  ,1,3,pooled,aumc
5.75,0.25304395951929154,sirs  ,1,4,pooled,aumc
5.75,0.2592952160621333,sirs  ,1,5,pooled,aumc
5.75,0.2641031373425739,sirs  ,1,6,pooled,aumc
5.75,0.26092305126093346,sirs  ,1,7,pooled,aumc
5.75,0.26195897371028604,sirs  ,1,8,pooled,aumc
5.75,0.2553755375537553,sirs  ,1,9,pooled,aumc
5.75,0.2709443829830031,sirs  ,2,0,pooled,aumc
5.75,0.2568397543271915,sirs  ,2,1,pooled,aumc
5.75,0.2629639853902998,sirs  ,2,2,pooled,aumc
5.75,0.2702585632413701,sirs  ,2,3,pooled,aumc
5.75,0.25304395951929154,sirs  ,2,4,pooled,aumc
5.75,0.2592952160621333,sirs  ,2,5,pooled,aumc
5.75,0.2641031373425739,sirs  ,2,6,pooled,aumc
5.75,0.26092305126093346,sirs  ,2,7,pooled,aumc
5.75,0.26195897371028604,sirs  ,2,8,pooled,aumc
5.75,0.2553755375537553,sirs  ,2,9,pooled,aumc
5.75,0.2709443829830031,sirs  ,3,0,pooled,aumc
5.75,0.2568397543271915,sirs  ,3,1,pooled,aumc
5.75,0.2629639853902998,sirs  ,3,2,pooled,aumc
5.75,0.2702585632413701,sirs  ,3,3,pooled,aumc
5.75,0.25304395951929154,sirs  ,3,4,pooled,aumc
5.75,0.2592952160621333,sirs  ,3,5,pooled,aumc
5.75,0.2641031373425739,sirs  ,3,6,pooled,aumc
5.75,0.26092305126093346,sirs  ,3,7,pooled,aumc
5.75,0.26195897371028604,sirs  ,3,8,pooled,aumc
5.75,0.2553755375537553,sirs  ,3,9,pooled,aumc
5.75,0.2709443829830031,sirs  ,4,0,pooled,aumc
5.75,0.2568397543271915,sirs  ,4,1,pooled,aumc
5.75,0.2629639853902998,sirs  ,4,2,pooled,aumc
5.75,0.2702585632413701,sirs  ,4,3,pooled,aumc
5.75,0.25304395951929154,sirs  ,4,4,pooled,aumc
5.75,0.2592952160621333,sirs  ,4,5,pooled,aumc
5.75,0.2641031373425739,sirs  ,4,6,pooled,aumc
5.75,0.26092305126093346,sirs  ,4,7,pooled,aumc
5.75,0.26195897371028604,sirs  ,4,8,pooled,aumc
5.75,0.2553755375537553,sirs  ,4,9,pooled,aumc
0.0,0.22079729962795963,sofa  ,0,0,pooled,aumc
0.0,0.228820417878868,sofa  ,0,1,pooled,aumc
0.0,0.2245914341350026,sofa  ,0,2,pooled,aumc
0.0,0.22241103558576564,sofa  ,0,3,pooled,aumc
0.0,0.22469641827156206,sofa  ,0,4,pooled,aumc
0.0,0.22881266351312066,sofa  ,0,5,pooled,aumc
0.0,0.2323592554652252,sofa  ,0,6,pooled,aumc
0.0,0.22568236553385065,sofa  ,0,7,pooled,aumc
0.0,0.22479075227110334,sofa  ,0,8,pooled,aumc
0.0,0.2196398731371278,sofa  ,0,9,pooled,aumc
0.0,0.22079729962795963,sofa  ,1,0,pooled,aumc
0.0,0.228820417878868,sofa  ,1,1,pooled,aumc
0.0,0.2245914341350026,sofa  ,1,2,pooled,aumc
0.0,0.22241103558576564,sofa  ,1,3,pooled,aumc
0.0,0.22469641827156206,sofa  ,1,4,pooled,aumc
0.0,0.22881266351312066,sofa  ,1,5,pooled,aumc
0.0,0.2323592554652252,sofa  ,1,6,pooled,aumc
0.0,0.22568236553385065,sofa  ,1,7,pooled,aumc
0.0,0.22479075227110334,sofa  ,1,8,pooled,aumc
0.0,0.2196398731371278,sofa  ,1,9,pooled,aumc
0.0,0.22079729962795963,sofa  ,2,0,pooled,aumc
0.0,0.228820417878868,sofa  ,2,1,pooled,aumc
0.0,0.2245914341350026,sofa  ,2,2,pooled,aumc
0.0,0.22241103558576564,sofa  ,2,3,pooled,aumc
0.0,0.22469641827156206,sofa  ,2,4,pooled,aumc
0.0,0.22881266351312066,sofa  ,2,5,pooled,aumc
0.0,0.2323592554652252,sofa  ,2,6,pooled,aumc
0.0,0.22568236553385065,sofa  ,2,7,pooled,aumc
0.0,0.22479075227110334,sofa  ,2,8,pooled,aumc
0.0,0.2196398731371278,sofa  ,2,9,pooled,aumc
0.0,0.22079729962795963,sofa  ,3,0,pooled,aumc
0.0,0.228820417878868,sofa  ,3,1,pooled,aumc
0.0,0.2245914341350026,sofa  ,3,2,pooled,aumc
0.0,0.22241103558576564,sofa  ,3,3,pooled,aumc
0.0,0.22469641827156206,sofa  ,3,4,pooled,aumc
0.0,0.22881266351312066,sofa  ,3,5,pooled,aumc
0.0,0.2323592554652252,sofa  ,3,6,pooled,aumc
0.0,0.22568236553385065,sofa  ,3,7,pooled,aumc
0.0,0.22479075227110334,sofa  ,3,8,pooled,aumc
0.0,0.2196398731371278,sofa  ,3,9,pooled,aumc
0.0,0.22079729962795963,sofa  ,4,0,pooled,aumc
0.0,0.228820417878868,sofa  ,4,1,pooled,aumc
0.0,0.2245914341350026,sofa  ,4,2,pooled,aumc
0.0,0.22241103558576564,sofa  ,4,3,pooled,aumc
0.0,0.22469641827156206,sofa  ,4,4,pooled,aumc
0.0,0.22881266351312066,sofa  ,4,5,pooled,aumc
0.0,0.2323592554652252,sofa  ,4,6,pooled,aumc
0.0,0.22568236553385065,sofa  ,4,7,pooled,aumc
0.0,0.22479075227110334,sofa  ,4,8,pooled,aumc
0.0,0.2196398731371278,sofa  ,4,9,pooled,aumc
2.5,0.30403311965811963,attn  ,0,0,pooled,eicu
2.5,0.3106589578185353,attn  ,0,1,pooled,eicu
2.5,0.3075146394597589,attn  ,0,2,pooled,eicu
2.5,0.3088906334330994,attn  ,0,3,pooled,eicu
2.5,0.31032568995822585,attn  ,0,4,pooled,eicu
2.5,0.31100119392802317,attn  ,0,5,pooled,eicu
2.5,0.31480683320616687,attn  ,0,6,pooled,eicu
2.5,0.3057921080812992,attn  ,0,7,pooled,eicu
3.5,0.30453777487199074,attn  ,0,8,pooled,eicu
