,AUC,rep,subsample,model,train_dataset,eval_dataset
0,0.7374860410492441,3,0,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7367991107904432,3,1,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7341997444301145,3,2,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7358126638288824,3,3,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7470322557108633,3,4,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7423331265122339,3,5,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.747652049683163,3,6,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7447976993949432,3,7,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7368877156489262,3,8,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7429601079575014,3,9,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7258586145445265,1,0,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7236579046834939,1,1,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7255891672080497,1,2,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7246769112471161,1,3,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7377855382357968,1,4,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7349065962012531,1,5,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7336698938624656,1,6,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.739144325514637,1,7,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7242959855309122,1,8,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7335439723657942,1,9,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7398064681096781,4,0,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.740505442539266,4,1,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7392183542981876,4,2,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7410248871829357,4,3,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7518734851651032,4,4,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7439452301596949,4,5,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7482455735297706,4,6,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7447807835172195,4,7,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7356903702664583,4,8,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7464916346421546,4,9,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7302512658633029,2,0,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7313569407142189,2,1,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7329398135906028,2,2,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7261173517778268,2,3,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7349929467056329,2,4,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7321451366149703,2,5,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7404374029620056,2,6,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7385227978211528,2,7,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7290495342033135,2,8,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7385594910933592,2,9,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.727775462148501,0,0,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7285941475878709,0,1,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7290638468822018,0,2,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.721945290417184,0,3,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.736680105731452,0,4,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7294102925764002,0,5,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7369786900738984,0,6,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7341111851230973,0,7,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7193981470437447,0,8,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.7344276560512706,0,9,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.6869317196727064,4,0,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.6990646950566789,4,1,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.6910336875128518,4,2,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.6795292986519519,4,3,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.6797191596987178,4,4,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.6764433743855536,4,5,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.6514902082024081,4,6,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.6728211210646142,4,7,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.6812753764102008,4,8,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.6757827092860815,4,9,AttentionModel,MIMIC+AUMC+EICU,hirid
