,AUPRC,rep,subsample,model,train_dataset,eval_dataset
0,0.32752406356418107,3,8,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.32046273635107225,3,9,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.3400323709114831,1,0,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.353650343402419,1,1,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.3373243914684328,1,2,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.32712525266879666,1,3,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.35396874674008905,1,4,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.33334060309353153,1,5,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.29932722699037395,1,6,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.3148921005135993,1,7,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.3253740766446788,1,8,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.32068873456608227,1,9,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.33657411297533896,0,0,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.34979601638636837,0,1,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.33459406859923546,0,2,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.32683858093505747,0,3,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.34714586687230753,0,4,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.3389585752798309,0,5,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.30123316657442845,0,6,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.3140304042054388,0,7,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.3246727985812189,0,8,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.31904013645384566,0,9,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.3378453468620535,2,0,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.35897759558372533,2,1,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.33790084121903574,2,2,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.3223153562900251,2,3,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.3639873899598075,2,4,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.3352423786112636,2,5,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.2974469737819656,2,6,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.317393968346082,2,7,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.32861022167026654,2,8,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.32158231628850037,2,9,AttentionModel,MIMIC+AUMC+EICU,hirid
0,0.4186753148453608,3,0,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.4262430186000949,3,1,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.4216809308118919,3,2,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.43809412176962625,3,3,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.4213354462864196,3,4,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.4361793258069763,3,5,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.4327250002289075,3,6,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.44384734405423665,3,7,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.4487837489178509,3,8,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.43051120575186486,3,9,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.4188442080198596,4,0,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.4348310127564192,4,1,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.43220682611744954,4,2,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.4418626807636614,4,3,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.43349124613856155,4,4,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.4365059742112306,4,5,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.4371502429893682,4,6,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.46097811671799244,4,7,AttentionModel,MIMIC+Hirid+AUMC,eicu
0,0.447666104214956,4,8,AttentionModel,MIMIC+Hirid+AUMC,eicu
